WAYBILL,Direccion_Destino,CITY,STATE,POSTAL_CODE,COUNTRY,DISTANCE_BILLED,Pure_Freight,Fuel_Cost,Team_D.15mILE,Total_Feight_Inv,Origen,CARRIER,FULL_Direccion_Destino,%Truck_used,WH_Address
1724794,MARSHALL WI 53559 US,MARSHALL,WI,53559,US,986.9,1085.59,384.89,0,1470.48,,LUNA,MARSHALL WI 53559 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1724822,ROANOKE VA 24012 US,ROANOKE,VA,24012,US,1112.2,1223.42,433.76,0,1657.18,,LUNA,ROANOKE VA 24012 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1724856,HAMILTON TOWNSHIP NJ 08611-3226 US,HAMILTON TOWNSHIP,NJ,08611-3226,US,1503.8,1654.18,661.67,0,2315.85,,LUNA,HAMILTON TOWNSHIP NJ 08611-3226 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1724949,CONWAY AR 72032 US,CONWAY,AR,72032,US,356.8,400,139.15,53.52,592.67,,LUNA,CONWAY AR 72032 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1725358,DES MOINES IA 50321-1250 US,DES MOINES,IA,50321-1250,US,695,764.5,271.05,0,1035.55,,LUNA,DES MOINES IA 50321-1250 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1728581,BUFFALO NY 14207 US,BUFFALO,NY,14207,US,1390.3,1529.33,583.93,0,2113.26,,LUNA,BUFFALO NY 14207 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1730218,LONDON KY 40741-7287 US,LONDON,KY,40741-7287,US,874.1,961.51,340.9,131.12,1433.52,,LUNA,LONDON KY 40741-7287 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1730219,WHARTON NJ 07885-1800 US,WHARTON,NJ,07885-1800,US,1531,1684.1,673.64,0,2357.74,,LUNA,WHARTON NJ 07885-1800 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1730264,KENT WA 98032-1195 US,KENT,WA,98032-1195,US,2104,2314.4,1094.08,315.6,3724.08,,LUNA,KENT WA 98032-1195 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1730862,MOUNT WASHINGTON KY 40047-7309 US,MOUNT WASHINGTON,KY,40047-7309,US,839,922.9,327.21,125.85,1375.96,,LUNA,MOUNT WASHINGTON KY 40047-7309 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733000,BERLIN PA 15530-1489 US,BERLIN,PA,15530-1489,US,1290.6,1419.66,529.15,0,1948.81,,LUNA,BERLIN PA 15530-1489 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733019,HARLINGEN TX 78550 US,HARLINGEN,TX,78550,US,542.1,623.42,211.42,81.32,916.15,,LUNA,HARLINGEN TX 78550 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733023,COON RAPIDS MN 55433-5856 US,COON RAPIDS,MN,55433-5856,US,954.8,1050.28,372.37,143.22,1565.87,,LUNA,COON RAPIDS MN 55433-5856 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1733692,WESTAMPTON NJ 8060 US,WESTAMPTON,NJ,8060,US,1496.4,1646.04,643.45,0,2289.49,,LUNA,WESTAMPTON NJ 8060 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
