SERIAL_NUMBER,OH_INV,ORDER_NUMBER,DESCRIPTION,SEGMENT1,NAME,TRANSACTION_ID,SHIPMENT_NUMBER,SCHEDULE_SHIP_DATE,SCHEDULE_SHIP_DATE,SCHEDULE_ARRIVAL_DATE,ADDRESSEE,CONFIRM_DATE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY,CREATION_DATE,Delivery ID,PRO#/Tracking#,TMS_REG
57-58266884,6/28/2021,6135316,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4823724940,97435298,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 22:12,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/9/2021 22:13,97435298,22863608,TMS
57-58265805,6/28/2021,6152694,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4841801675,97513164,7/19/2021 23:59,7/19/2021 23:59,7/21/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/19/2021 21:45,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/19/2021 21:45,97513164,22867898,TMS
57-58266896,6/29/2021,6135288,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4823726371,97377617,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 22:16,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/9/2021 22:16,97377617,22863608,TMS
57-58266893,6/29/2021,6135315,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4823725041,97377619,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 22:13,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/9/2021 22:13,97377619,22863608,TMS
57-58266897,6/29/2021,6135313,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4823725104,97377618,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 22:14,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/9/2021 22:15,97377618,22863608,TMS
57-58266888,6/29/2021,6135180,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4823726388,97377616,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 22:17,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/9/2021 22:17,97377616,22863608,TMS
57-58267823,7/10/2021,6143563,SS84 Optimize Drive Up Catalog,6684MC7215,Rental Sourcing US,4841851787,97670657,7/19/2021 23:59,7/19/2021 23:59,7/21/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/19/2021 23:55,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/19/2021 23:55,97670657,22867898,TMS
57-58268255,7/13/2021,6138612,SS84 Standardize Walk Up Catalog,6684MC7180,Rental Sourcing US,4846497112,97833638,7/21/2021 23:59,7/21/2021 23:59,7/23/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/21/2021 22:26,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/21/2021 22:27,97833638,22869315,TMS
57-60570184,7/16/2021,6138619,SS84 Standardize Walk Up Catalog,6684MC7180,Rental Sourcing US,4846506449,97885918,7/22/2021 23:59,7/22/2021 23:59,7/26/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/21/2021 22:51,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/21/2021 22:51,97885918,#N/A,EMAIL
57-58268391,7/22/2021,6194381,6623 DIP,6623MC2340,Rental Sourcing US,4855894494,98095631,7/26/2021 23:59,7/26/2021 23:59,7/30/2021 23:59,ATMaaS Northrop Grumman/Rigger SVW,7/26/2021 20:46,346 W 6100 ST,MURRAY,UT,84107-6990,US,7/26/2021 20:46,98095631,2963305,TMS
